iter	Passed	Remaining
0	0	756
1	1	677
2	2	677
3	2	674
4	3	677
5	3	661
6	4	662
7	5	668
8	6	662
9	6	665
10	7	665
11	8	659
12	8	655
13	9	653
14	9	647
15	10	648
16	11	647
17	11	647
18	12	646
19	13	645
20	13	640
21	14	639
22	14	636
23	15	633
24	16	632
25	16	628
26	17	630
27	18	632
28	18	634
29	19	633
30	20	631
31	20	630
32	21	628
33	22	628
34	22	627
35	23	625
36	23	623
37	24	622
38	25	619
39	25	621
40	26	622
41	27	620
42	27	620
43	28	618
44	29	618
45	29	617
46	30	617
47	31	616
48	31	618
49	32	619
50	33	617
51	33	614
52	34	615
53	35	616
54	35	614
55	36	614
56	37	614
57	37	613
58	38	612
59	39	611
60	39	612
61	40	613
62	41	614
63	41	613
64	42	614
65	43	613
66	43	609
67	44	608
68	44	606
69	45	605
70	46	605
71	46	604
72	47	603
73	48	603
74	48	602
75	49	603
76	50	603
77	51	603
78	51	603
79	52	601
80	53	601
81	53	599
82	54	598
83	54	597
84	55	597
85	56	596
86	56	597
87	57	596
88	58	595
89	58	594
90	59	593
91	59	592
92	60	590
93	61	589
94	61	589
95	62	589
96	63	589
97	63	588
98	64	588
99	65	587
100	65	586
101	66	585
102	67	584
103	67	583
104	68	583
105	69	582
106	69	582
107	70	581
108	71	580
109	71	579
110	72	580
111	73	580
112	73	579
113	74	578
114	75	578
115	75	578
116	76	577
117	77	577
118	77	577
119	78	576
120	79	575
121	79	575
122	80	574
123	81	574
124	82	574
125	82	573
126	83	572
127	84	576
128	85	575
129	86	575
130	86	576
131	87	575
132	88	576
133	89	575
134	89	575
135	90	574
136	91	574
137	91	573
138	92	573
139	93	574
140	94	573
141	94	572
142	95	571
143	95	570
144	96	569
145	97	569
146	133	772
147	134	771
148	134	769
149	135	767
150	136	766
151	137	764
152	137	763
153	138	760
154	139	758
155	139	756
156	140	755
157	141	753
158	142	751
159	142	749
160	143	747
161	144	746
162	144	744
163	145	742
164	146	740
165	147	738
166	147	736
167	148	735
168	149	733
169	149	731
170	150	730
171	151	728
172	151	725
173	152	723
174	153	722
175	153	720
176	154	718
177	155	716
178	155	714
179	156	713
180	157	711
181	157	710
182	158	708
183	159	706
184	160	705
185	160	703
186	161	702
187	162	700
188	162	698
189	163	697
190	164	695
191	164	693
192	165	692
193	166	690
194	166	689
195	167	687
196	168	685
197	168	684
198	169	682
199	170	681
200	171	680
201	171	678
202	172	677
203	173	677
204	174	675
205	174	673
206	175	672
207	176	670
208	176	668
209	177	666
210	178	665
211	178	664
212	179	662
213	180	661
214	180	660
215	181	658
216	182	656
217	182	655
218	183	654
219	184	654
220	185	652
221	185	651
222	186	649
223	187	648
224	187	647
225	188	645
226	189	644
227	189	643
228	190	641
229	191	640
230	191	638
231	192	637
232	193	637
233	194	636
234	194	634
235	195	633
236	196	631
237	196	630
238	197	629
239	198	628
240	199	627
241	200	627
242	201	626
243	201	625
244	202	624
245	203	623
246	204	622
247	204	620
248	205	619
249	206	618
250	206	616
251	207	615
252	208	614
253	208	613
254	209	612
255	210	611
256	211	610
257	211	609
258	212	608
259	213	607
260	214	605
261	214	604
262	215	603
263	216	602
264	216	601
265	217	600
266	218	599
267	219	598
268	219	597
269	220	596
270	221	595
271	222	594
272	222	593
273	223	592
274	224	591
275	224	590
276	225	589
277	226	587
278	227	586
279	227	585
280	228	584
281	229	583
282	229	582
283	230	581
284	231	580
285	232	579
286	232	578
287	233	577
288	234	575
289	234	574
290	235	573
291	236	572
292	236	571
293	237	570
294	238	569
295	238	568
296	239	567
297	240	566
298	241	565
299	241	564
300	242	562
301	243	561
302	243	560
303	244	559
304	245	558
305	245	557
306	246	556
307	247	555
308	247	554
