iter	Passed	Remaining
309	248	553
310	249	552
311	249	550
312	250	549
313	251	548
314	251	547
315	252	546
316	253	545
317	253	544
318	254	543
319	255	542
320	256	541
321	256	540
322	257	539
323	258	538
324	258	537
325	259	536
326	260	535
327	261	534
328	261	533
329	262	532
330	262	531
331	263	530
332	264	529
333	264	528
334	265	527
335	266	526
336	266	525
337	267	524
338	268	523
339	269	522
340	269	521
341	270	520
342	271	519
343	271	518
344	272	517
345	273	516
346	273	515
347	274	514
348	275	513
349	275	512
350	276	511
351	276	509
352	277	508
353	278	507
354	278	506
355	279	505
356	280	504
357	280	503
358	281	502
359	282	501
360	282	500
361	283	499
362	284	498
363	284	497
364	285	496
365	286	495
366	286	494
367	287	493
368	288	492
369	288	491
370	289	490
371	290	489
372	290	488
373	291	487
374	292	486
375	292	485
376	293	484
377	294	483
378	294	482
379	295	481
380	296	480
381	296	479
382	297	479
383	298	478
384	298	477
385	299	476
386	300	475
387	300	474
388	301	473
389	302	472
390	302	471
391	303	470
392	304	469
393	304	468
394	305	467
395	306	467
396	306	466
397	307	465
398	308	464
399	308	463
400	309	462
401	310	461
402	310	460
403	311	459
404	312	459
405	313	458
406	313	457
407	314	456
408	315	455
409	315	454
410	316	453
411	317	452
412	317	451
413	318	450
414	319	449
415	319	448
416	320	448
417	321	447
418	321	446
419	322	445
420	323	444
421	324	443
422	324	442
423	325	441
424	325	440
425	326	440
426	327	439
427	328	438
428	328	437
429	329	436
430	330	435
431	330	435
432	331	434
433	332	433
434	332	432
435	333	431
436	334	430
437	334	429
438	335	428
439	336	428
440	336	427
441	337	426
442	338	425
443	338	424
444	339	423
445	340	422
446	340	421
447	341	420
448	342	420
449	343	419
450	343	418
451	344	417
452	345	416
453	345	415
454	346	415
455	347	414
456	347	413
457	348	412
458	348	411
459	349	410
460	350	409
461	351	408
462	351	408
463	352	407
464	353	406
465	353	405
466	354	404
467	355	403
468	355	402
469	356	402
470	357	401
471	358	400
472	358	399
473	359	398
474	360	398
475	360	397
476	361	396
477	362	395
478	362	394
479	363	393
480	363	392
481	364	391
482	365	391
483	366	390
484	367	389
485	367	388
486	368	388
487	369	387
488	369	386
489	370	385
490	371	384
491	371	384
492	372	383
493	373	382
494	374	381
495	374	380
496	375	379
497	376	379
498	376	378
499	377	377
500	377	376
501	378	375
502	379	374
503	380	374
504	380	373
505	381	372
506	382	371
507	382	370
508	383	369
509	384	369
510	384	368
511	385	367
512	386	366
513	386	365
514	387	364
515	388	364
516	388	363
517	389	362
518	390	361
519	390	360
520	391	360
521	392	359
522	393	358
523	393	357
524	394	356
525	395	356
526	395	355
527	396	354
528	397	353
529	397	352
530	398	351
531	399	351
532	399	350
533	400	349
534	401	348
535	401	347
536	402	347
537	403	346
538	403	345
539	404	344
540	405	343
541	405	342
542	406	342
543	407	341
544	407	340
545	408	339
546	409	338
547	409	338
548	410	337
549	411	336
550	411	335
551	412	334
552	413	334
553	413	333
554	414	332
555	415	331
556	415	330
557	416	329
558	417	329
559	417	328
560	418	327
561	419	326
562	419	325
563	420	325
564	421	324
565	421	323
566	422	322
567	423	321
568	424	321
569	424	320
570	425	319
571	425	318
572	426	317
573	427	317
574	427	316
575	428	315
576	429	314
577	429	313
578	430	313
579	431	312
580	432	311
581	432	310
582	433	309
583	433	309
584	434	308
585	435	307
586	436	306
587	436	306
588	437	305
589	438	304
590	438	303
591	439	302
592	439	301
593	440	301
594	441	300
595	442	299
596	442	298
597	443	298
598	444	297
599	444	296
600	445	295
601	446	294
602	447	294
603	447	293
604	448	292
605	449	291
606	449	291
607	450	290
608	450	289
609	451	288
610	452	287
611	452	287
612	453	286
613	454	285
614	455	284
615	455	284
616	456	283
617	456	282
618	457	281
619	458	280
620	458	280
621	459	279
622	460	278
623	460	277
624	461	276
625	462	276
626	462	275
627	463	274
628	464	273
629	464	272
630	465	272
631	466	271
632	466	270
633	467	269
634	468	269
635	468	268
636	469	267
637	470	266
638	470	266
639	471	265
640	472	264
641	472	263
642	473	262
643	474	262
644	474	261
645	475	260
646	476	259
647	476	258
648	477	258
649	478	257
650	478	256
651	479	255
652	480	255
653	480	254
654	481	253
655	481	252
656	482	251
657	483	251
658	483	250
659	484	249
660	485	248
661	486	248
662	486	247
663	487	246
664	488	245
665	488	245
666	489	244
667	489	243
668	490	242
669	491	242
670	492	241
671	492	240
672	493	239
673	494	239
674	495	238
675	495	237
676	496	236
677	497	236
678	497	235
679	498	234
680	499	233
681	500	233
682	500	232
683	501	231
684	502	230
685	502	230
686	503	229
687	504	228
688	504	227
689	505	227
690	506	226
691	506	225
692	507	224
693	508	224
694	508	223
695	509	222
696	510	221
697	511	221
698	511	220
699	512	219
700	512	218
701	513	218
702	514	217
703	515	216
704	515	215
705	516	215
706	517	214
707	517	213
708	518	212
709	519	212
710	519	211
711	520	210
712	521	209
713	521	209
714	522	208
715	523	207
716	523	206
717	524	205
718	525	205
719	525	204
720	526	203
721	527	203
722	528	202
723	528	201
724	529	200
725	529	199
726	530	199
727	531	198
728	531	197
729	532	196
730	533	196
731	533	195
732	534	194
733	534	193
734	535	193
735	535	192
736	536	191
737	537	190
738	537	189
739	538	189
740	539	188
741	539	187
742	540	186
743	540	186
744	541	185
745	541	184
746	542	183
747	543	182
748	543	182
749	544	181
750	545	180
751	545	180
752	546	179
753	547	178
754	547	177
755	548	177
756	549	176
757	549	175
758	550	174
759	551	174
760	551	173
761	552	172
762	553	171
763	553	171
764	554	170
765	554	169
766	555	168
767	555	167
768	556	167
769	557	166
770	557	165
771	558	164
772	558	164
773	559	163
774	560	162
775	561	162
776	561	161
777	562	160
778	563	159
779	563	158
780	564	158
781	564	157
782	565	156
783	565	155
784	566	155
785	567	154
786	567	153
787	568	152
788	569	152
789	569	151
790	570	150
791	570	149
792	571	149
793	572	148
794	572	147
795	573	146
796	573	146
797	574	145
798	575	144
799	576	144
800	576	143
801	577	142
802	578	141
803	578	141
804	579	140
805	580	139
806	580	138
807	581	138
808	582	137
809	582	136
810	583	135
811	584	135
812	584	134
813	585	133
814	585	132
815	586	132
816	587	131
817	587	130
818	588	130
819	588	129
820	589	128
821	590	127
822	591	127
823	591	126
824	592	125
825	592	124
826	593	124
827	593	123
828	594	122
829	595	121
830	595	121
831	596	120
832	596	119
833	597	118
834	598	118
835	598	117
836	599	116
837	599	115
838	600	115
839	601	114
840	601	113
841	602	113
842	602	112
843	603	111
844	604	110
845	604	110
846	605	109
847	606	108
848	606	107
849	607	107
850	608	106
851	608	105
852	609	104
853	609	104
854	610	103
855	611	102
856	611	102
857	612	101
858	612	100
859	613	99
860	614	99
861	614	98
862	615	97
863	615	96
864	616	96
865	616	95
866	617	94
867	618	94
868	618	93
869	619	92
870	620	91
871	620	91
872	621	90
873	621	89
874	622	88
875	623	88
876	623	87
877	624	86
878	624	86
879	625	85
880	625	84
881	626	83
882	627	83
883	627	82
884	628	81
885	628	80
886	629	80
887	630	79
888	630	78
889	631	78
890	631	77
891	632	76
892	633	75
893	633	75
894	634	74
895	635	73
896	635	72
897	636	72
898	636	71
899	637	70
900	638	70
901	638	69
902	639	68
903	639	67
904	640	67
905	640	66
906	641	65
907	642	65
908	642	64
909	643	63
910	643	62
911	644	62
912	644	61
913	645	60
914	646	60
915	646	59
916	647	58
917	647	57
918	648	57
919	649	56
920	649	55
921	650	55
922	651	54
923	651	53
924	652	52
925	653	52
926	653	51
927	654	50
928	654	50
929	655	49
930	655	48
931	656	47
932	657	47
933	658	46
934	658	45
935	659	45
936	659	44
937	660	43
938	661	42
939	661	42
940	662	41
941	662	40
942	663	40
943	664	39
944	664	38
945	665	37
946	665	37
947	666	36
948	666	35
949	667	35
950	668	34
951	668	33
952	669	33
953	669	32
954	670	31
955	670	30
956	671	30
957	672	29
958	672	28
959	673	28
960	673	27
961	674	26
962	675	25
963	675	25
964	676	24
965	677	23
966	678	23
967	678	22
968	679	21
969	680	21
970	680	20
971	681	19
972	682	18
973	683	18
974	683	17
975	684	16
976	684	16
977	685	15
978	686	14
979	686	14
980	687	13
981	688	12
982	688	11
983	689	11
984	690	10
985	690	9
986	691	9
987	691	8
988	692	7
989	692	6
990	693	6
991	693	5
992	694	4
993	695	4
994	696	3
995	696	2
996	697	2
997	698	1
998	698	0
999	699	0
