iter	RMSE
424	1.296003754
425	1.294733774
426	1.293088008
427	1.291839176
428	1.29124739
429	1.289921066
430	1.28888238
431	1.287642919
432	1.286845136
433	1.286149132
434	1.284036302
435	1.283328476
436	1.282054908
437	1.281224472
438	1.28066172
439	1.279526243
440	1.278378578
441	1.277106856
442	1.276619605
443	1.275439267
444	1.274360038
445	1.272477764
446	1.271476298
447	1.269866849
448	1.267789701
449	1.266524823
450	1.264669248
451	1.263846085
452	1.261322902
453	1.259638303
454	1.259119123
455	1.258238467
456	1.257051386
457	1.255579623
458	1.254856241
459	1.254411869
460	1.2534975
461	1.252594758
462	1.2504544
463	1.249522436
464	1.248922432
465	1.247324822
466	1.245590729
467	1.244198771
468	1.241949592
469	1.24086163
470	1.2396275
471	1.238504675
472	1.236541133
473	1.235904776
474	1.235295811
475	1.233647457
476	1.232662505
477	1.231646851
478	1.230849345
479	1.230291027
480	1.229216444
481	1.227726445
482	1.226543356
483	1.225490983
484	1.224543979
485	1.223316436
486	1.222435926
487	1.22121482
488	1.219706786
489	1.218765494
490	1.217266913
491	1.216090091
492	1.214415996
493	1.21314628
494	1.212644136
495	1.210753911
496	1.210359874
497	1.208872421
498	1.208292999
499	1.206195646
500	1.205493225
501	1.204451729
502	1.203163829
503	1.202790121
504	1.20183038
505	1.200789178
506	1.200009354
507	1.199233645
508	1.198042567
509	1.196913914
510	1.196082744
511	1.195284012
512	1.194667619
513	1.193945798
514	1.193058224
515	1.191743855
516	1.191306457
517	1.190466306
518	1.189581149
519	1.188674363
520	1.188190367
521	1.187487566
522	1.186377904
523	1.185291019
524	1.184584929
525	1.183991978
526	1.182682247
527	1.181853498
528	1.181243241
529	1.179924626
530	1.178973998
531	1.17785525
532	1.176956824
533	1.175937329
534	1.175305328
535	1.174143447
536	1.172908165
537	1.17248589
538	1.171667774
539	1.171315415
540	1.16931102
541	1.168350758
542	1.167255524
543	1.165785753
544	1.165381839
545	1.164799109
546	1.164087301
547	1.163130567
548	1.162580415
549	1.162010955
550	1.161554932
551	1.16103585
552	1.160326195
553	1.158800103
554	1.157921369
555	1.156128354
556	1.154426759
557	1.153774514
558	1.153051243
559	1.15120763
560	1.150894362
561	1.150527029
562	1.150109701
563	1.148627921
564	1.147791886
565	1.146451169
566	1.145821837
567	1.145277777
568	1.144667264
569	1.144297098
570	1.143492152
571	1.142494726
572	1.142173425
573	1.141531692
574	1.140894644
575	1.139684922
576	1.138694806
577	1.137664991
578	1.137231656
579	1.136816589
580	1.136314849
581	1.135478572
582	1.134918284
583	1.134399215
584	1.134168043
585	1.13344792
586	1.13178106
587	1.130521842
588	1.128902506
589	1.12814715
590	1.127450559
591	1.126619516
592	1.125190686
593	1.124361122
594	1.123116337
595	1.122461039
596	1.12090075
597	1.12000754
598	1.119343215
599	1.118609832
600	1.117295003
601	1.116664706
602	1.116367043
603	1.115841351
604	1.114807621
605	1.114132617
606	1.113200297
607	1.111698234
608	1.111233391
609	1.109715151
610	1.109436725
611	1.108806272
612	1.108455925
613	1.10679238
614	1.106432578
615	1.105422416
616	1.104835409
617	1.104538116
618	1.103599353
619	1.102266059
620	1.100219132
621	1.099634405
622	1.098741479
623	1.098138838
624	1.097771534
625	1.097455636
626	1.096070244
627	1.095281549
628	1.094863864
629	1.094486022
630	1.093255793
631	1.092134024
632	1.091407471
633	1.090893981
634	1.090244283
635	1.089551751
636	1.08890943
637	1.08805767
638	1.087242264
639	1.086639923
640	1.085024126
641	1.084655033
642	1.083823541
643	1.082547971
644	1.081805046
645	1.081179443
646	1.08032778
647	1.079642155
648	1.078907033
649	1.078365424
650	1.077972196
651	1.07720746
652	1.076424088
653	1.07589965
654	1.075369941
655	1.074828352
656	1.07351002
657	1.072435525
658	1.071246305
659	1.070766119
660	1.070220677
661	1.070025975
662	1.069773057
663	1.068827904
664	1.068429096
665	1.067577715
666	1.067228307
667	1.067008833
668	1.06668125
669	1.066190488
670	1.065188087
671	1.064039616
672	1.063471169
673	1.061638487
674	1.061176612
675	1.060034849
676	1.059219575
677	1.058732525
678	1.058491509
679	1.057725175
680	1.056697252
681	1.055568003
682	1.055076274
683	1.054873081
684	1.054119341
685	1.053863608
686	1.053364346
687	1.052879093
688	1.052094641
689	1.050856767
690	1.049896224
691	1.049336066
692	1.048943679
693	1.048537167
694	1.047641628
695	1.046178223
696	1.045421633
697	1.044771624
698	1.04420518
699	1.043022183
700	1.042353368
701	1.041470353
702	1.040857415
703	1.040371643
704	1.039884354
705	1.039187866
706	1.038522493
707	1.037946529
708	1.037516918
709	1.036595677
710	1.034319824
711	1.033820515
712	1.033127698
713	1.032950811
714	1.032760575
715	1.031370804
716	1.030132175
717	1.029782269
718	1.029043151
719	1.028239165
720	1.02778767
721	1.027358915
722	1.027112811
723	1.02687724
724	1.025419061
725	1.025006494
726	1.023591924
727	1.022772167
728	1.022196168
729	1.021791904
730	1.021592157
731	1.021050248
732	1.020080461
733	1.018844227
734	1.018570543
735	1.017796841
736	1.016872739
737	1.01670431
738	1.016263744
739	1.01605469
740	1.015786881
741	1.014847381
742	1.014656079
743	1.014183871
744	1.01346363
745	1.01239307
746	1.01131956
747	1.01108227
748	1.010687257
749	1.009079053
750	1.008698493
751	1.006996601
752	1.006402934
753	1.006023412
754	1.005333901
755	1.004141588
756	1.002836935
757	1.002347394
758	1.002210107
759	1.001485529
760	1.000936283
761	1.000429608
762	1.000115679
763	0.9993507297
764	0.998830953
765	0.9986441259
766	0.9981501715
767	0.9979073132
768	0.9972725732
769	0.996387072
770	0.9956576079
771	0.9951371749
772	0.9940343635
773	0.9934298343
774	0.992613059
775	0.9917825638
776	0.9914643001
777	0.9913137758
778	0.9907374776
779	0.9899854659
780	0.9895242348
781	0.9893053211
782	0.989078127
783	0.9877122212
784	0.9872476702
785	0.9861873062
786	0.9855967815
787	0.9852465353
788	0.9847981716
789	0.9839007864
790	0.9835130871
791	0.9827442987
792	0.9817820546
793	0.9806601731
794	0.9803017352
795	0.9795339123
796	0.9791952226
797	0.9782705654
798	0.9773738002
799	0.9767177911
800	0.9764794664
801	0.9752134034
802	0.9749591238
803	0.9736436473
804	0.9733790393
805	0.9730162338
806	0.9716191389
807	0.9712435934
808	0.9707209269
809	0.9697997794
810	0.9696438436
811	0.9694065344
812	0.9690216798
813	0.9679743381
814	0.967229366
815	0.9666677855
816	0.9663083367
817	0.9657877056
818	0.9654333015
819	0.9639932516
820	0.9632921928
821	0.962913092
822	0.9627230985
823	0.9625679015
824	0.9609694027
825	0.9605949883
826	0.959919824
827	0.9594050742
828	0.9585003417
829	0.9575348973
830	0.9573974883
831	0.9563624113
832	0.955937026
833	0.9552057305
834	0.9541146898
835	0.9537843792
836	0.9529633551
837	0.9523270382
838	0.9519383378
839	0.9514693145
840	0.950994895
841	0.9499848549
842	0.9496799545
843	0.9487255504
844	0.9483104835
845	0.9479923469
846	0.9462610026
847	0.9453377075
848	0.9449360532
849	0.9442025831
850	0.9435327129
851	0.9427983772
852	0.9424169679
853	0.9420860784
854	0.9415163572
855	0.9411075705
856	0.9400819491
857	0.9392904985
858	0.9386673944
859	0.9382110116
860	0.9372273943
861	0.9366368455
862	0.9363753813
863	0.9356071902
864	0.9347657272
865	0.9341931286
866	0.9334778831
867	0.9327834339
868	0.9324310775
869	0.9319545989
870	0.9306846292
871	0.9305285745
872	0.930051865
873	0.9283867071
874	0.927653087
875	0.9270768625
876	0.9263091641
877	0.9257875619
878	0.9253057111
879	0.9246985429
880	0.9242205489
881	0.9222979193
882	0.9215432447
883	0.9209536412
884	0.9204399721
885	0.9192976753
886	0.9182680452
887	0.9180461265
888	0.9177474756
889	0.9171926159
890	0.9167524555
891	0.9164622527
892	0.9162681017
893	0.9155026979
894	0.9149951556
895	0.9139782391
896	0.9132408223
897	0.9130927609
898	0.9127272442
899	0.9123946771
900	0.9122253586
901	0.911528635
902	0.9111437889
903	0.9110013722
904	0.9104754107
905	0.9099063266
906	0.9095772085
907	0.9090121767
908	0.9081899921
909	0.9080043387
910	0.907857331
911	0.9072682135
912	0.9068036081
913	0.9064116301
914	0.9059932315
915	0.9056314794
916	0.9052738171
917	0.9049936414
918	0.9035723027
919	0.9034119558
920	0.9032418255
921	0.9021673305
922	0.900931103
923	0.9007727095
924	0.9004795007
925	0.9001688947
926	0.899124872
927	0.8987729866
928	0.8978763767
929	0.8974733898
930	0.897121369
931	0.8969494169
932	0.8966579833
933	0.8958014443
934	0.895549794
935	0.8948550874
936	0.8942039133
937	0.8932643292
938	0.8924696364
939	0.8919557668
940	0.8914068104
941	0.8906188305
942	0.8901234116
943	0.8894331762
944	0.8893052627
945	0.888768317
946	0.8885774714
947	0.8882559662
948	0.8880720014
949	0.8874433077
950	0.8871678129
951	0.8868138719
952	0.8865038494
953	0.886344084
954	0.8861327771
955	0.8857106118
956	0.8853252757
957	0.8847010038
958	0.8835147784
959	0.8825394006
960	0.8810925937
961	0.8805550039
962	0.8800671513
963	0.8797246082
964	0.8787205663
965	0.8780066522
966	0.8773134979
967	0.8765346113
968	0.8758399302
969	0.8752287864
970	0.8750022988
971	0.8747278439
972	0.8739483548
973	0.8732415327
974	0.8729018333
975	0.8727745783
976	0.8725078933
977	0.8722981063
978	0.8719364414
979	0.8716339809
980	0.8711379291
981	0.8710024098
982	0.8701820303
983	0.8696819218
984	0.8693721355
985	0.8691102288
986	0.8687152171
987	0.8683355925
988	0.8677471349
989	0.8672556546
990	0.8665378148
991	0.8661244716
992	0.8659362736
993	0.8649813312
994	0.8645702308
995	0.8644461232
996	0.8643136395
997	0.8638162012
998	0.8636511213
999	0.863102839
